date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1987-04,,,,,,,,,,,,,,,,,,,
1987-07,,,,,,,,,,,,,,,,,,,
1987-10,52,,,,,,,,,,,,,,,,,,
1987-11,36,,,,,,,,,,,,,,,,,,
1987-12,145,,,,,,,,,,,,,,,,,,
1988-01,41,4.675496688741722,76.07986870897156,18.06359649122807,1,2,5,7,9,65,70,77,81,83,10,13,17,24,29
1988-02,102,,,,,,,,,,,,,,,,,,
1988-03,71,,,,,,,,,,,,,,,,,,
1988-04,177,,,,,,,,,,,,,,,,,,
1988-05,213,,,,,,,,,,,,,,,,,,
1988-06,13,,,,,,,,,,,,,,,,,,
1988-07,205,1.3471264367816091,78.50940438871473,20.57945425361156,0,0,1,2,4,69,73,78,84,90,11,16,21,26,29
1988-08,114,,,,,,,,,,,,,,,,,,
1988-09,76,,,,,,,,,,,,,,,,,,
1988-10,141,,,,,,,,,,,,,,,,,,
1988-11,81,,,,,,,,,,,,,,,,,,
1988-12,95,,,,,,,,,,,,,,,,,,
1989-01,526,7.825136612021858,75.02183406113537,15.764192139737991,3,5,8,10,13,66,70,75,80,84,2,10,17,21,26
1989-02,95,,,,,,,,,,,,,,,,,,
1989-03,85,,,,,,,,,,,,,,,,,,
1989-04,129,,,,,,,,,,,,,,,,,,
1989-05,49,,,,,,,,,,,,,,,,,,
1989-06,133,,,,,,,,,,,,,,,,,,
1989-07,2,2.629032258064516,69.56369426751593,27.379585326953748,0,1,2,4,6,58,64,70,73,88,12,22,28,34,38
1989-08,147,,,,,,,,,,,,,,,,,,
1989-09,123,,,,,,,,,,,,,,,,,,
1989-10,184,3.6719636776390465,70.37554585152839,24.737991266375545,0,2,4,6,7,63,67,71,74,76,19,21,24,29,33
1989-11,77,,,,,,,,,,,,,,,,,,
1989-12,151,,,,,,,,,,,,,,,,,,
1990-01,402,,,,,,,,,,,,,,,,,,
1990-02,163,,,,,,,,,,,,,,,,,,
1990-03,197,,,,,,,,,,,,,,,,,,
1990-04,26,2.2666666666666666,72.65825688073394,24.408256880733944,0,1,2,4,6,64,68,71,78,91,3,19,26,30,35
1990-05,39,,,,,,,,,,,,,,,,,,
1990-06,3,,,,,,,,,,,,,,,,,,
1990-07,20,,,,,,,,,,,,,,,,,,
1990-08,75,,,,,,,,,,,,,,,,,,
1990-09,98,,,,,,,,,,,,,,,,,,
1990-10,86,,,,,,,,,,,,,,,,,,
1990-11,560,,,,,,,,,,,,,,,,,,
1990-12,134,,,,,,,,,,,,,,,,,,
1991-01,346,,,,,,,,,,,,,,,,,,
1991-02,183,,,,,,,,,,,,,,,,,,
1991-03,40,,,,,,,,,,,,,,,,,,
1991-04,80,2.0081967213114753,72.79431072210066,24.79366812227074,0,0,2,3,5,62,68,73,78,83,13,18,25,31,35
1991-05,188,,,,,,,,,,,,,,,,,,
1991-06,90,,,,,,,,,,,,,,,,,,
1991-07,44,3.3756906077348066,64.2703125,31.911214953271028,0,1,3,6,9,51,61,65,69,73,25,28,32,35,41
1991-08,17,,,,,,,,,,,,,,,,,,
1991-09,44,,,,,,,,,,,,,,,,,,
1991-10,64,4.215709261430246,64.4535519125683,30.64770240700219,0,2,4,7,9,57,61,65,68,71,24,27,30,35,39
1991-11,48,,,,,,,,,,,,,,,,,,
1991-12,24,,,,,,,,,,,,,,,,,,
1992-01,47,,,,,,,,,,,,,,,,,,
1992-02,128,,,,,,,,,,,,,,,,,,
1992-03,413,,,,,,,,,,,,,,,,,,
1992-04,137,,,,,,,,,,,,,,,,,,
1992-05,8,,,,,,,,,,,,,,,,,,
1992-06,20,,,,,,,,,,,,,,,,,,
1992-07,14,3.771062271062271,66.99063962558502,28.94348508634223,0,1,3,6,9,56,62,68,73,76,21,24,28,33,44
1992-08,47,,,,,,,,,,,,,,,,,,
1992-09,248,,,,,,,,,,,,,,,,,,
1992-10,89,,,,,,,,,,,,,,,,,,
1992-11,379,,,,,,,,,,,,,,,,,,
1992-12,87,,,,,,,,,,,,,,,,,,
1993-01,103,3.7599067599067597,74.08652792990142,21.38225629791895,0,1,3,6,8,70,72,74,76,79,17,19,21,24,26
1993-02,64,,,,,,,,,,,,,,,,,,
1993-03,94,,,,,,,,,,,,,,,,,,
1993-04,20,4.602977667493796,71.16157205240175,23.990163934426228,0,1,4,8,11,60,66,71,76,81,16,19,23,29,36
1993-05,35,,,,,,,,,,,,,,,,,,
1993-06,24,,,,,,,,,,,,,,,,,,
1993-07,79,3.432809773123909,69.47058823529412,26.68109668109668,0,1,2,4,12,58,65,70,74,77,12,22,27,31,39
1993-08,153,,,,,,,,,,,,,,,,,,
1993-09,154,,,,,,,,,,,,,,,,,,
1993-10,97,3.0457831325301203,68.04709748083242,28.19277108433735,0,1,3,5,9,61,65,68,71,74,21,25,28,31,35
1993-11,98,,,,,,,,,,,,,,,,,,
1993-12,121,,,,,,,,,,,,,,,,,,
1994-01,49,,,,,,,,,,,,,,,,,,
1994-02,25,,,,,,,,,,,,,,,,,,
1994-03,46,,,,,,,,,,,,,,,,,,
1994-04,94,3.076463560334528,77.33481152993348,18.52270210409745,0,1,3,5,7,69,72,77,83,88,5,13,20,24,27
1994-05,56,,,,,,,,,,,,,,,,,,
1994-06,130,,,,,,,,,,,,,,,,,,
1994-07,68,4.431330472103005,68.86577181208054,27,0,1,2,7,14,60,64,69,73,79,8,22,29,33,38
1994-08,70,,,,,,,,,,,,,,,,,,
1994-09,41,,,,,,,,,,,,,,,,,,
1994-10,38,4.990836197021764,67.92450765864332,25.950711938663744,1,2,4,8,13,59,65,68,71,75,18,21,25,31,38
1994-11,79,,,,,,,,,,,,,,,,,,
1994-12,205,,,,,,,,,,,,,,,,,,
1995-01,136,9.049715909090908,74.22017045454545,15.5049786628734,4,6,8,12,16,67,71,75,78,81,11,13,15,18,21
1995-02,34,,,,,,,,,,,,,,,,,,
1995-03,77,,,,,,,,,,,,,,,,,,
1995-04,50,3,74.90033783783784,21.6,0,1,2,5,8,60,67,74,82,91,5,12,22,29,38
1995-05,17,,,,,,,,,,,,,,,,,,
1995-06,15,,,,,,,,,,,,,,,,,,
1995-07,49,1.7158671586715868,72.36363636363636,26.278617710583152,0,0,1,2,7,62,65,71,79,91,8,19,27,34,37
1995-08,76,,,,,,,,,,,,,,,,,,
1995-09,48,,,,,,,,,,,,,,,,,,
1995-10,157,,,,,,,,,,,,,,,,,,
1995-11,73,,,,,,,,,,,,,,,,,,
1995-12,191,,,,,,,,,,,,,,,,,,
1996-01,22,6.410633484162896,75.29934210526316,17.021905805038337,1,3,6,9,12,66,72,76,79,82,9,12,17,22,26
1996-02,237,,,,,,,,,,,,,,,,,,
1996-03,102,,,,,,,,,,,,,,,,,,
1996-04,8,,,,,,,,,,,,,,,,,,
1996-05,1,,,,,,,,,,,,,,,,,,
1996-06,248,,,,,,,,,,,,,,,,,,
1996-07,48,1.896969696969697,76.17073170731707,21.706477732793523,0,0,2,3,6,67,70,74,84,90,6,14,23,29,32
1996-08,121,,,,,,,,,,,,,,,,,,
1996-09,89,,,,,,,,,,,,,,,,,,
1996-10,184,,,,,,,,,,,,,,,,,,
1996-11,68,,,,,,,,,,,,,,,,,,
1996-12,53,,,,,,,,,,,,,,,,,,
1997-01,59,,,,,,,,,,,,,,,,,,
1997-02,196,,,,,,,,,,,,,,,,,,
1997-03,127,,,,,,,,,,,,,,,,,,
1997-04,85,8.785202863961814,68.14237668161435,22.50224215246637,0,2,7,15,22,54,64,70,73,78,16,19,23,26,29
1997-05,112,,,,,,,,,,,,,,,,,,
1997-06,87,,,,,,,,,,,,,,,,,,
1997-07,39,2.135593220338983,77.52590266875981,20.194053208137714,0,0,2,4,6,64,72,76,83,95,5,14,22,25,35
1997-08,72,,,,,,,,,,,,,,,,,,
1997-09,61,,,,,,,,,,,,,,,,,,
1997-10,173,5.276243093922652,68.39344262295081,25.158991228070175,1,3,5,7,9,61,65,69,72,74,19,21,25,29,32
1997-11,142,,,,,,,,,,,,,,,,,,
1997-12,75,,,,,,,,,,,,,,,,,,
1998-01,8,5.959276018099548,74.26067907995619,18.60983606557377,1,3,5,9,14,66,71,75,78,82,10,16,19,21,26
1998-02,174,,,,,,,,,,,,,,,,,,
1998-03,86,,,,,,,,,,,,,,,,,,
1998-04,122,2.29957805907173,75.5515350877193,22.098360655737704,0,1,2,4,6,67,71,74,81,85,13,18,23,26,30
1998-05,29,,,,,,,,,,,,,,,,,,
1998-06,109,,,,,,,,,,,,,,,,,,
1998-07,54,3.3564356435643563,72.66862170087977,24.108663729809106,0,1,2,6,9,56,68,73,79,88,10,15,24,31,39
1998-08,42,,,,,,,,,,,,,,,,,,
1998-09,31,,,,,,,,,,,,,,,,,,
1998-10,99,,,,,,,,,,,,,,,,,,
1998-11,56,,,,,,,,,,,,,,,,,,
1998-12,39,,,,,,,,,,,,,,,,,,
1999-01,200,,,,,,,,,,,,,,,,,,
1999-02,212,,,,,,,,,,,,,,,,,,
1999-03,108,,,,,,,,,,,,,,,,,,
1999-04,116,,,,,,,,,,,,,,,,,,
1999-05,408,,,,,,,,,,,,,,,,,,
1999-06,62,,,,,,,,,,,,,,,,,,
1999-07,37,2.1867469879518073,77.49775784753363,20.02581369248036,0,1,2,4,6,68,72,77,83,88,11,15,21,26,29
1999-08,90,,,,,,,,,,,,,,,,,,
1999-09,43,,,,,,,,,,,,,,,,,,
1999-10,182,,,,,,,,,,,,,,,,,,
1999-11,204,,,,,,,,,,,,,,,,,,
1999-12,63,,,,,,,,,,,,,,,,,,
2000-01,187,,,,,,,,,,,,,,,,,,
2000-02,63,,,,,,,,,,,,,,,,,,
2000-03,85,,,,,,,,,,,,,,,,,,
2000-04,220,,,,,,,,,,,,,,,,,,
2000-05,55,,,,,,,,,,,,,,,,,,
2000-06,27,,,,,,,,,,,,,,,,,,
2000-07,190,1.8298555377207062,77.44200244200245,19.856265356265357,0,0,2,3,5,64,70,77,86,91,4,11,20,29,34
2000-08,48,,,,,,,,,,,,,,,,,,
2000-09,81,,,,,,,,,,,,,,,,,,
2000-10,52,,,,,,,,,,,,,,,,,,
2000-11,29,,,,,,,,,,,,,,,,,,
2000-12,255,,,,,,,,,,,,,,,,,,
2001-01,50,,,,,,,,,,,,,,,,,,
2001-02,45,,,,,,,,,,,,,,,,,,
2001-03,44,,,,,,,,,,,,,,,,,,
2001-04,42,,,,,,,,,,,,,,,,,,
2001-05,26,,,,,,,,,,,,,,,,,,
2001-06,43,,,,,,,,,,,,,,,,,,
2001-07,72,1.5658362989323844,74.51400730816079,23.838199513381994,0,0,1,2,5,65,69,75,80,85,13,19,24,29,34
2001-08,148,,,,,,,,,,,,,,,,,,
2001-09,51,,,,,,,,,,,,,,,,,,
2001-10,158,2.240473061760841,68.17923497267759,28.914660831509845,0,1,2,4,5,60,64,69,72,74,23,25,29,33,36
2001-11,134,,,,,,,,,,,,,,,,,,
2001-12,122,,,,,,,,,,,,,,,,,,
2002-01,103,,,,,,,,,,,,,,,,,,
2002-02,258,,,,,,,,,,,,,,,,,,
2002-03,44,,,,,,,,,,,,,,,,,,
2002-04,177,2.5788005578800557,84.46902654867256,12.479467258601554,0,1,2,4,7,76,79,85,89,92,2,6,13,19,22
2002-05,62,,,,,,,,,,,,,,,,,,
2002-06,30,,,,,,,,,,,,,,,,,,
2002-07,45,1.7758913412563668,78.00372208436724,20.113861386138613,0,0,2,3,5,71,74,78,82,87,12,16,20,24,27
2002-08,79,,,,,,,,,,,,,,,,,,
2002-09,29,,,,,,,,,,,,,,,,,,
2002-10,87,2.440203562340967,69.75382932166302,27.212253829321664,0,1,2,4,7,63,66,70,73,75,22,24,27,30,33
2002-11,415,,,,,,,,,,,,,,,,,,
2002-12,119,,,,,,,,,,,,,,,,,,
2003-01,44,,,,,,,,,,,,,,,,,,
2003-02,95,,,,,,,,,,,,,,,,,,
2003-03,24,,,,,,,,,,,,,,,,,,
2003-04,33,1.9788639365918097,76.62227074235808,20.88621444201313,0,0,2,3,5,69,73,77,80,84,14,17,21,25,28
2003-05,22,,,,,,,,,,,,,,,,,,
2003-06,21,,,,,,,,,,,,,,,,,,
2003-07,15,1.7728119180633146,74.42278860569715,23.31981981981982,0,0,2,3,4,64,70,74,80,84,14,18,23,28,35
2003-08,18,,,,,,,,,,,,,,,,,,
2003-09,91,,,,,,,,,,,,,,,,,,
2003-10,27,2.353864734299517,68.2896174863388,28.584699453551913,0,1,2,4,5,62,65,68,72,74,23,25,29,32,34
2003-11,82,,,,,,,,,,,,,,,,,,
2003-12,107,,,,,,,,,,,,,,,,,,
2004-01,236,4.058426966292135,75.29836065573771,19.257393209200437,0,2,4,6,8,69,72,76,78,81,13,16,19,23,26
2004-02,459,,,,,,,,,,,,,,,,,,
2004-03,53,,,,,,,,,,,,,,,,,,
2004-04,64,2.441326530612245,82.35448577680525,14.521264994547437,0,1,2,4,6,77,80,83,85,88,9,11,14,18,21
2004-05,44,,,,,,,,,,,,,,,,,,
2004-06,8,,,,,,,,,,,,,,,,,,
2004-07,77,1.4692028985507246,81.13588390501319,16.507265521796565,0,0,1,2,4,72,76,81,86,91,5,11,16,23,27
2004-08,98,,,,,,,,,,,,,,,,,,
2004-09,52,,,,,,,,,,,,,,,,,,
2004-10,58,2.4038929440389296,72.07986870897156,24.437636761487965,0,1,2,4,5,67,69,72,75,79,19,21,25,28,29
2004-11,129,,,,,,,,,,,,,,,,,,
2004-12,69,,,,,,,,,,,,,,,,,,
2005-01,104,3.1734317343173433,74.91694352159469,20.941176470588236,0,1,3,5,7,66,72,75,78,82,15,17,21,25,27
2005-02,15,,,,,,,,,,,,,,,,,,
2005-03,29,,,,,,,,,,,,,,,,,,
2005-04,52,2.107001321003963,79.12663755458516,18.230853391684903,0,1,2,3,5,71,75,80,83,87,9,14,18,23,27
2005-05,84,,,,,,,,,,,,,,,,,,
2005-06,71,,,,,,,,,,,,,,,,,,
2005-07,211,2.9414225941422596,72.81796116504854,23.724691358024693,0,1,2,5,7,65,68,72,77,83,12,21,24,28,31
2005-08,66,,,,,,,,,,,,,,,,,,
2005-09,94,,,,,,,,,,,,,,,,,,
2005-10,68,5.3931623931623935,64.55940023068051,29.040462427745666,0,2,4,9,13,55,62,65,68,70,21,25,29,33,37
2005-11,122,,,,,,,,,,,,,,,,,,
2005-12,118,,,,,,,,,,,,,,,,,,
2006-01,44,2.353191489361702,75.54990925589837,21.282608695652176,0,1,2,4,6,70,73,75,78,81,16,18,21,24,27
2006-02,74,,,,,,,,,,,,,,,,,,
2006-03,72,,,,,,,,,,,,,,,,,,
